Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters,problem_size,connections_per_node,max_attempts,num_edges,run_number,group_timestamp,total_runtime
19,0.04102695803157985,489.0,227.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
20,0.04308199998922646,493.0,239.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
21,0.0449759159819223,493.0,250.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
22,0.04686554102227092,493.0,261.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
23,0.04890633298782632,495.0,273.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
24,0.050706666021142155,495.0,284.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
25,0.05251820798730478,495.0,295.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
26,0.05432879098225385,495.0,306.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
27,0.05615537503035739,495.0,317.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
28,0.05799237499013543,495.0,328.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
29,0.05995820800308138,495.0,339.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
30,0.06197312497533858,496.0,351.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
31,0.06382558302721009,496.0,362.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
32,0.06573324999772012,496.0,373.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
33,0.06765354098752141,496.0,384.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
34,0.06975933298235759,497.0,396.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
35,0.07172933302354068,497.0,407.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
36,0.07363433297723532,497.0,418.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
37,0.0755427079857327,497.0,429.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
38,0.07743662502616644,497.0,440.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
39,0.0793357910006307,497.0,451.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
40,0.08125200000358745,497.0,462.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
41,0.08317783300299197,497.0,473.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
42,0.08507766597904265,497.0,484.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
43,0.08697033300995827,497.0,495.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
44,0.08888674998888746,497.0,506.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
45,0.09079991601174697,497.0,517.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
46,0.09272204100852832,497.0,528.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
47,0.0946337910136208,497.0,539.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
48,0.09658083302201703,497.0,550.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
49,0.09852491598576307,497.0,561.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
50,0.10041604097932577,497.0,572.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
51,0.1023349579772912,497.0,583.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
52,0.10424908302957192,497.0,594.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
53,0.106161208008416,497.0,605.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
54,0.10808799997903407,497.0,616.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
55,0.10999341600108892,497.0,627.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
56,0.11204525001812726,498.0,639.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
57,0.11395220801932737,498.0,650.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
58,0.11582537501817569,498.0,661.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
59,0.11769233300583437,498.0,672.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
60,0.11960320797516033,498.0,683.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
61,0.12167541601229459,499.0,695.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
62,0.12359991599805653,499.0,706.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
63,0.12553666601888835,499.0,717.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
64,0.12762579100672156,500.0,729.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
65,0.12953620799817145,500.0,740.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
