Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart,group_number,run_number,problem_size,max_iterations,max_attempts,max_restarts
1,0.060321250000001214,1028.0,53.0,75,1,40,3,9,1000,10,100,75
1,0.060321250000001214,1060.0,55.0,75,1,41,3,9,1000,10,100,75
1,0.060321250000001214,1016.0,57.0,75,1,42,3,9,1000,10,100,75
1,0.060321250000001214,1014.0,58.0,75,1,43,3,9,1000,10,100,75
1,0.060321250000001214,1026.0,60.0,75,1,44,3,9,1000,10,100,75
1,0.060321250000001214,1088.0,61.0,75,1,45,3,9,1000,10,100,75
1,0.060321250000001214,1026.0,62.0,75,1,46,3,9,1000,10,100,75
1,0.060321250000001214,1075.0,64.0,75,1,47,3,9,1000,10,100,75
1,0.060321250000001214,988.0,66.0,75,1,48,3,9,1000,10,100,75
1,0.060321250000001214,1031.0,67.0,75,1,49,3,9,1000,10,100,75
1,0.060321250000001214,1000.0,69.0,75,1,50,3,9,1000,10,100,75
1,0.060321250000001214,1095.0,70.0,75,1,51,3,9,1000,10,100,75
1,0.060321250000001214,1080.0,71.0,75,1,52,3,9,1000,10,100,75
1,0.060321250000001214,1017.0,72.0,75,1,53,3,9,1000,10,100,75
1,0.060321250000001214,1052.0,73.0,75,1,54,3,9,1000,10,100,75
1,0.060321250000001214,1042.0,75.0,75,1,55,3,9,1000,10,100,75
1,0.060321250000001214,1054.0,76.0,75,1,56,3,9,1000,10,100,75
1,0.060321250000001214,1043.0,78.0,75,1,57,3,9,1000,10,100,75
1,0.060321250000001214,1044.0,79.0,75,1,58,3,9,1000,10,100,75
1,0.060321250000001214,1007.0,81.0,75,1,59,3,9,1000,10,100,75
1,0.060321250000001214,1063.0,82.0,75,1,60,3,9,1000,10,100,75
1,0.060321250000001214,1029.0,83.0,75,1,61,3,9,1000,10,100,75
1,0.060321250000001214,1086.0,84.0,75,1,62,3,9,1000,10,100,75
1,0.060321250000001214,1014.0,86.0,75,1,63,3,9,1000,10,100,75
1,0.060321250000001214,1024.0,88.0,75,1,64,3,9,1000,10,100,75
1,0.060321250000001214,1034.0,89.0,75,1,65,3,9,1000,10,100,75
1,0.060321250000001214,1028.0,90.0,75,1,66,3,9,1000,10,100,75
1,0.060321250000001214,1058.0,91.0,75,1,67,3,9,1000,10,100,75
